price_bin,net_load_bin,soc_bin,time_block,weekend,q_discharge,q_hold,q_charge,visits_discharge,visits_hold,visits_charge,state_visits,best_action,best_action_index,best_environment_action
1,2,3,3,1,-57.44184423970908,-58.93642934265021,-59.2007240078869,2116,847,586,3549,discharge,0,-1
1,3,0,0,0,-63.96884275442496,-64.26763668004361,-64.6624428876316,39,38,21,98,discharge,0,-1
1,3,0,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,3,0,1,0,-81.47648498677161,-82.67167106857615,-82.27255457459124,12470,9294,9843,31607,discharge,0,-1
1,3,0,1,1,-65.65050400529037,-68.42431061556276,-68.61157466330053,2471,1464,1442,5377,discharge,0,-1
1,3,0,2,0,-80.80469500295125,-84.76732149400631,-84.76859940310267,10742,10282,6278,27302,discharge,0,-1
1,3,0,2,1,-67.8833308831168,-69.0332607625918,-69.85739902452164,3240,2670,750,6660,discharge,0,-1
1,3,0,3,0,-74.15477598659146,-69.65694607137439,-76.46891896955343,4498,5481,1244,11223,hold,1,0
1,3,0,3,1,-63.86702375731607,-65.97294556238475,-66.79403286556142,838,389,148,1375,discharge,0,-1
1,3,1,0,0,-21.377158344072644,-19.62390824694711,-22.029507535383424,5,4,5,14,hold,1,0
1,3,1,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,3,1,1,0,-79.9147443741149,-74.03665994724466,-80.93270808775719,1731,2836,1457,6024,hold,1,0
1,3,1,1,1,-63.260310341992415,-65.34634769643297,-65.45177702416993,317,764,361,1442,discharge,0,-1
1,3,1,2,0,-80.71888799680679,-80.77172717498661,-78.3541697414804,2080,5168,1688,8936,charge,2,1
1,3,1,2,1,-65.34975053120837,-66.39256797491718,-66.50384864561939,393,1366,263,2022,discharge,0,-1
1,3,1,3,0,-69.16467712418404,-73.44106833303056,-75.46822173252872,2360,491,348,3199,discharge,0,-1
1,3,1,3,1,-62.25985298620432,-63.82708318427835,-64.30528505079728,544,331,112,987,discharge,0,-1
1,3,2,0,0,-39.37084698315051,-39.59472657859229,-41.30486190383572,11,12,11,34,discharge,0,-1
1,3,2,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,3,2,1,0,-77.5294679349112,-74.29240411904915,-79.09906166292805,3919,5621,3987,13527,hold,1,0
1,3,2,1,1,-62.298435829535975,-65.2574761382891,-65.05558162060481,613,830,985,2428,discharge,0,-1
1,3,2,2,0,-79.73873462477859,-79.4488737933574,-78.992841990123,2413,6710,3321,12444,charge,2,1
1,3,2,2,1,-65.60220244028397,-64.41787072478667,-65.9504948605645,614,1764,472,2850,hold,1,0
1,3,2,3,0,-68.87690885851835,-72.67866337417642,-72.8404272948557,2882,1184,579,4645,discharge,0,-1
1,3,2,3,1,-62.02310473289609,-61.240853060970956,-62.41356490076879,435,338,128,901,hold,1,0
1,3,3,0,0,-49.38990617906429,-50.343053920411435,-51.54140183656786,16,18,20,54,discharge,0,-1
1,3,3,0,1,0.0,0.0,0.0,0,0,0,0,hold,1,0
1,3,3,1,0,-75.54243200286784,-74.93471499277457,-71.27202618936357,4911,4741,4990,14642,charge,2,1
1,3,3,1,1,-60.63115786085643,-60.26910334416907,-60.578274539683136,801,916,636,2353,hold,1,0
1,3,3,2,0,-74.02661693621664,-74.64939323764153,-75.45000345963038,5445,6405,5468,17318,discharge,0,-1
1,3,3,2,1,-62.061082665145555,-62.088031799917545,-60.48979160968356,1243,941,1084,3268,charge,2,1
1,3,3,3,0,-70.24962012552797,-69.37627545769433,-70.46503163729032,3405,2284,1644,7333,hold,1,0
1,3,3,3,1,-58.36666810355631,-59.83682747961596,-60.006843066374834,1031,285,221,1537,discharge,0,-1
2,0,0,0,0,0.0,0.0,0.0,0,0,0,0,hold,1,0
